Category: All categories

Week,Combined Graduate Level Examination: (India),NDA Exam: (India),REET: (India),CSIR UGC NET: (India),UGC NET: (India)
2020-07-05,6,4,3,1,4
2020-07-12,4,3,2,1,4
2020-07-19,4,3,2,<1,3
2020-07-26,4,3,2,1,4
2020-08-02,4,3,2,<1,3
2020-08-09,4,5,2,1,4
2020-08-16,4,5,2,<1,4
2020-08-23,4,5,3,1,6
2020-08-30,4,7,3,1,6
2020-09-06,4,5,4,1,8
2020-09-13,7,3,3,1,8
2020-09-20,8,2,3,1,7
2020-09-27,7,2,2,1,7
2020-10-04,9,3,2,1,6
2020-10-11,9,2,3,1,5
2020-10-18,7,2,3,1,4
2020-10-25,8,2,3,1,4
2020-11-01,8,2,3,1,5
2020-11-08,9,2,3,1,5
2020-11-15,13,2,3,1,4
2020-11-22,10,2,3,1,4
2020-11-29,10,2,3,1,5
2020-12-06,11,2,3,1,4
2020-12-13,14,2,5,1,4
2020-12-20,11,2,5,1,4
2020-12-27,13,4,5,1,4
2021-01-03,15,4,6,1,3
2021-01-10,14,4,7,1,3
2021-01-17,14,4,7,1,3
2021-01-24,16,3,4,<1,3
2021-01-31,12,2,5,1,5
2021-02-07,12,2,4,1,6
2021-02-14,13,2,4,1,5
2021-02-21,12,2,2,<1,6
2021-02-28,12,3,1,1,7
2021-03-07,11,3,2,<1,6
2021-03-14,11,3,1,1,5
2021-03-21,10,3,2,1,5
2021-03-28,10,3,<1,<1,5
2021-04-04,11,4,1,<1,5
2021-04-11,10,9,1,1,6
2021-04-18,8,4,1,<1,5
2021-04-25,7,3,1,<1,4
2021-05-02,7,3,1,<1,4
2021-05-09,6,3,1,<1,3
2021-05-16,7,3,1,1,4
2021-05-23,6,4,1,1,4
2021-05-30,7,4,1,1,4
2021-06-06,7,6,2,1,4
2021-06-13,7,7,3,1,4
2021-06-20,7,6,1,1,4
2021-06-27,9,6,1,<1,4
2021-07-04,8,5,1,1,4
2021-07-11,9,5,1,<1,5
2021-07-18,8,5,1,1,5
2021-07-25,8,4,1,1,4
2021-08-01,10,4,1,<1,5
2021-08-08,15,4,1,1,5
2021-08-15,15,5,1,1,5
2021-08-22,10,4,1,1,6
2021-08-29,11,4,3,1,6
2021-09-05,8,5,2,1,7
2021-09-12,7,5,4,1,7
2021-09-19,5,6,4,1,7
2021-09-26,5,9,10,<1,9
2021-10-03,5,8,3,1,8
2021-10-10,5,6,4,1,6
